takilman,"	takilmen
"
straightaway,"	straightaways
"
confirmatory,"	confirmatories
"
disagreeableness,"	disagreeablenesses
"
ripper,"	rippers
"
cagney,"	cagneys
"
cattiness,"	cattinesses
"
swarthy,"	swarthies
"
conciseness,"	concisenesses
"
heatherington,"	heatheringtons
"
carcass,"	carcasses
"
ethnology,"	ethnologies
"
supplicatory,"	supplicatories
"
chancellery,"	chancelleries
"
warfarin,"	warfarins
"
inconceivability,"	inconceivabilities
"
decolonization,"	decolonizations
"
malevolency,"	malevolencies
"
bumpy,"	bumpies
"
pyrolatry,"	pyrolatries
"
bedless,"	bedlesses
"
hydropathy,"	hydropathies
"
subordinateness,"	subordinatenesses
"
hydroxy,"	hydroxies
"
receptiveness,"	receptivenesses
"
presage,"	presages
"
induct,"	inducts
"
flitter,"	flitters
"
relief,"	reliefs
"
defenseless,"	defenselesses
"
sandarach,"	sandaraches
"
pontifex,"	pontifices
"
homeliness,"	homelinesses
"
marketless,"	marketlesses
"
ephemeris,"	ephemerides
"
puniness,"	puninesses
"
bedhop,"	bedhops
"
straightforwardness,"	straightforwardnesses
"
lynx,"	lynges
"
anadiplosis,"	anadiploses
"
defensibility,"	defensibilities
"
exuberance,"	exuberances
"
brenda,"	brendas
"
thundery,"	thunderies
"
kaury,"	kauries
"
geomorphology,"	geomorphologies
"
psephology,"	psephologies
"
headstand,"	headstands
"
frugality,"	frugalities
"
casualty,"	casualties
"
businessman,"	businessmen
"
battlewagon,"	battlewagons
"
slightness,"	slightnesses
"
dissimilarity,"	dissimilarities
"
clothesless,"	clotheslesses
"
remnant,"	remnants
"
constellation,"	constellations
"
receive,"	receives
"
laryngostenosis,"	laryngostenoses
"
turcoman,"	turcomen
"
rataplan,"	rataplans
"
monarchy,"	monarchies
"
ventilatory,"	ventilatories
"
candleberry,"	candleberries
"
atony,"	atonies
"
psychokinesis,"	psychokineses
"
pleuronectidae,"	pleuronectidaes
"
hypochondriac,"	hypochondriacs
"
molucella,"	molucellas
"
hackberry,"	hackberries
"
joking,"	jokings
"
animist,"	animists
"
goldenseal,"	goldenseals
"
hypnosis,"	hypnoses
"
prolix,"	prolixes
"
impiety,"	impieties
"
blowsy,"	blowsies
"
client,"	clients
"
cannery,"	canneries
"
fortuity,"	fortuities
"
variability,"	variabilities
"
salinity,"	salinities
"
plenitude,"	plenitudes
"
mess,"	messes
"
cubist,"	cubists
"
mishegoss,"	mishegosses
"
applicability,"	applicabilities
"
percy,"	percies
"
millais,"	millaiss
"
eyepatch,"	eyepatches
"
enthalpy,"	enthalpies
"
pointless,"	pointlesses
"
impurity,"	impurities
"
innocency,"	innocencies
"
patroness,"	patronesses
"
apparentness,"	apparentnesses
"
maillot,"	maillots
"
cardinality,"	cardinalities
"
fractiousness,"	fractiousnesses
"
caryatid,"	caryatids
"
eruct,"	eructs
"
lithology,"	lithologies
"
epitaxy,"	epitaxies
"
hyperbaton,"	hyperbata
"
impunity,"	impunities
"
mythicise,"	mythicises
"
somesthesis,"	somestheses
"
marquess,"	marquesses
"
lm,"	lms
"
ewe,"	ewes
"
assassinator,"	assassinators
"
miniate,"	miniates
"
vacuousness,"	vacuousnesses
"
chondrify,"	chondrifies
"
camash,"	camashes
"
funky,"	funkies
"
xenogenesis,"	xenogeneses
"
springiness,"	springinesses
"
godmother,"	godmothers
"
edgeless,"	edgelesses
"
originality,"	originalities
"
morphogenesis,"	morphogeneses
"
braver,"	bravers
"
chancy,"	chancies
"
genista,"	genistas
"
allusiveness,"	allusivenesses
"
jewelry,"	jewelries
"
hostelry,"	hostelries
"
vapidity,"	vapidities
"
delivery,"	deliveries
"
theodicy,"	theodicies
"
speech,"	speeches
"
heedfulness,"	heedfulnesses
"
obliviousness,"	obliviousnesses
"
djinny,"	djinnies
"
suitableness,"	suitablenesses
"
bibliolatry,"	bibliolatries
"
synezesis,"	synezeses
"
proficiency,"	proficiencies
"
grossness,"	grossnesses
"
forwardness,"	forwardnesses
"
eldritch,"	eldritches
"
rorschach,"	rorschaches
"
newsy,"	newsies
"
reindeer,"	reindeer
"
kandinsky,"	kandinskies
"
breathlessness,"	breathlessnesses
"
barany,"	baranies
"
voluminousness,"	voluminousnesses
"
hostess,"	hostesses
"
mystique,"	mystiques
"
physiotherapy,"	physiotherapies
"
phrasal,"	phrasals
"
guardsman,"	guardsmen
"
soapbox,"	soapboxes
"
craniotomy,"	craniotomies
"
succorer,"	succorers
"
parallelopipedon,"	parallelopipedons
"
physiology,"	physiologies
"
repertoire,"	repertoires
"
familyless,"	familylesses
"
theory,"	theories
"
foldability,"	foldabilities
"
dolefulness,"	dolefulnesses
"
submerse,"	submerses
"
scarabaeid,"	scarabaeids
"
musquash,"	musquashes
"
septillion,"	septillions
"
frenzy,"	frenzies
"
selflessness,"	selflessnesses
"
eyeglass,"	eyeglasses
"
formality,"	formalities
"
finish,"	finishes
"
wiliness,"	wilinesses
"
verity,"	verities
"
autogenesis,"	autogeneses
"
puckishness,"	puckishnesses
"
vendome,"	vendomes
"
playactor,"	playactors
"
rotl,"	rotls
"
glass,"	glasses
"
cellulose,"	cellulose
"
sarracenia,"	sarracenias
"
irreplaceableness,"	irreplaceablenesses
"
antiredeposition,"	antiredepositions
"
stipend,"	stipends
"
myology,"	myologies
"
butylate,"	butylates
"
reversal,"	reversals
"
acariosis,"	acarioses
"
formalness,"	formalnesses
"
bacteriolysis,"	bacteriolyses
"
immutability,"	immutabilities
"
amitosis,"	amitoses
"
whitener,"	whiteners
"
enteroptosis,"	enteroptoses
"
invincibility,"	invincibilities
"
archduchess,"	archduchesses
"
strelitzia,"	strelitzias
"
inefficiency,"	inefficiencies
"
dismantle,"	dismantles
"
aliveness,"	alivenesses
"
anthropogenesis,"	anthropogeneses
"
legislate,"	legislates
"
baby,"	babies
"
inclose,"	incloses
"
cd,"	cds
"
epilepsy,"	epilepsies
"
unregularity,"	unregularities
"
rumba,"	rumbas
"
christlike,"	christlikes
"
globularness,"	globularnesses
"
ivory,"	ivories
"
ipod,"	ipods
"
pompano,"	pompanoes
"
dogma,"	dogmata
"
cosiness,"	cosinesses
"
recluseness,"	reclusenesses
"
congresswoman,"	congresswomen
"
thirty,"	thirties
"
adaptability,"	adaptabilities
"
helminth,"	helminths
"
servility,"	servilities
"
capableness,"	capablenesses
"
adh,"	adhs
"
soreness,"	sorenesses
"
meekness,"	meeknesses
"
epanalepsis,"	epanalepses
"
keratonosis,"	keratonoses
"
odovakar,"	odovakars
"
rhapsodise,"	rhapsodises
"
hypnotherapy,"	hypnotherapies
"
nebbech,"	nebbeches
"
chairwoman,"	chairwomen
"
baccarat,"	baccarats
"
pharez,"	pharezs
"
helix,"	helixes
"
inaccessibility,"	inaccessibilities
"
incompleteness,"	incompletenesses
"
wonderfulness,"	wonderfulnesses
"
requester,"	requesters
"
dicranum,"	dicranums
"
croix,"	croixes
"
encopresis,"	encopreses
"
swash,"	swashes
"
respectability,"	respectabilities
"
trenchancy,"	trenchancies
"
refractivity,"	refractivities
"
grimy,"	grimies
"
concenter,"	concenters
"
constrictor,"	constrictors
"
pseudococcus,"	pseudococcuss
"
foaminess,"	foaminesses
"
horseleech,"	horseleeches
"
rehash,"	rehashes
"
demagnetization,"	demagnetizations
"
cumquat,"	cumquats
"
moby,"	mobies
"
topless,"	toplesses
"
subdirectory,"	subdirectories
"
dothan,"	dothans
"
laundryman,"	laundrymen
"
anesthesiology,"	anesthesiologies
"
terry,"	terries
"
ligule,"	ligules
"
cloudlessness,"	cloudlessnesses
"
nuthatch,"	nuthatches
"
styrax,"	styraxes
"
washerwoman,"	washerwomen
"
modem,"	modems
"
prouder,"	prouders
"
nasality,"	nasalities
"
nurseryman,"	nurserymen
"
amphidiploidy,"	amphidiploidies
"
yeomanry,"	yeomanries
"
profitless,"	profitlesses
"
generalissimo,"	generalissimos
"
headdress,"	headdresses
"
piolet,"	piolets
"
airsickness,"	airsicknesses
"
specialness,"	specialnesses
"
quinsy,"	quinsies
"
mod,"	mods
"
fatigability,"	fatigabilities
"
quiescence,"	quiescences
"
negativity,"	negativities
"
frostiness,"	frostinesses
"
max,"	maxes
"
secretary,"	secretaries
"
seagrass,"	seagrasses
"
numismatology,"	numismatologies
"
pledge,"	pledges
"
thaumaturgy,"	thaumaturgies
"
gratuity,"	gratuities
"
barberry,"	barberries
"
hiplength,"	hiplengths
"
weensy,"	weensies
"
ross,"	rosses
"
saintpaulia,"	saintpaulias
"
tawn,"	tawns
"
angiitis,"	angiitis
"
saxony,"	saxonies
"
diffuse,"	diffuses
"
punctureless,"	puncturelesses
"
promote,"	promotes
"
contrariness,"	contrarinesses
"
equivocalness,"	equivocalnesses
"
sanguineness,"	sanguinenesses
"
lemongrass,"	lemongrasses
"
crowberry,"	crowberries
"
ado,"	adoes
"
posology,"	posologies
"
earthsman,"	earthsmen
"
compliancy,"	compliancies
"
dermatology,"	dermatologies
"
adrenalectomy,"	adrenalectomies
"
offer,"	offers
"
bondsman,"	bondsmen
"
dispersion,"	dispersions
"
dastardliness,"	dastardlinesses
"
plutarch,"	plutarches
"
xerography,"	xerographies
"
thrombosis,"	thromboses
"
grammatolatry,"	grammatolatries
"
deadhead,"	deadheads
"
remarry,"	remarries
"
none,"	nones
"
backdate,"	backdates
"
sulphate,"	sulphates
"
smyrnium,"	smyrniums
"
dissatisfy,"	dissatisfies
"
defensiveness,"	defensivenesses
"
boogieman,"	boogiemen
"
immanency,"	immanencies
"
evilness,"	evilnesses
"
jaunty,"	jaunties
"
welsh,"	welshes
"
slithery,"	slitheries
"
connexion,"	connexions
"
aggression,"	aggressions
"
tractableness,"	tractablenesses
"
aphaeresis,"	aphaereses
"
dignity,"	dignities
"
bellman,"	bellmen
"
loveliness,"	lovelinesses
"
coachman,"	coachmen
"
winterise,"	winterises
"
ineligibility,"	ineligibilities
"
anodonta,"	anodontas
"
changeableness,"	changeablenesses
"
superstitiousness,"	superstitiousnesses
"
pullulate,"	pullulates
"
infinity,"	infinities
"
myopus,"	myopera
"
abnormality,"	abnormalities
"
elephantopus,"	elephantopera
"
measureless,"	measurelesses
"
concentricity,"	concentricities
"
abient,"	abients
"
azaleastrum,"	azaleastrums
"
shogunate,"	shogunates
"
draftsmanship,"	draftsmanships
"
urgency,"	urgencies
"
shrivel,"	shrivels
"
matron,"	matrons
"
lamellibranch,"	lamellibranches
"
myelography,"	myelographies
"
barman,"	barmen
"
demijohn,"	demijohns
"
turkoman,"	turkomen
"
retrovir,"	retrovirs
"
effeminacy,"	effeminacies
"
bigness,"	bignesses
"
chinaman,"	chinamen
"
stilboestrol,"	stilboestrols
"
emptiness,"	emptinesses
"
benedictory,"	benedictories
"
cordless,"	cordlesses
"
ceremonial,"	ceremonials
"
archness,"	archnesses
"
triptych,"	triptyches
"
predominance,"	predominances
"
instrumentality,"	instrumentalities
"
guaranty,"	guaranties
"
noisomeness,"	noisomenesses
"
blanch,"	blanches
"
tautology,"	tautologies
"
slackness,"	slacknesses
"
inflexibleness,"	inflexiblenesses
"
millwork,"	millworks
"
keb,"	kebs
"
catchall,"	catchalls
"
knickknackery,"	knickknackeries
"
scrunch,"	scrunches
"
dayfly,"	dayflies
"
alkalimetry,"	alkalimetries
"
subluxate,"	subluxates
"
tomentum,"	tomentums
"
preference,"	preferences
"
hexagrammidae,"	hexagrammidaes
"
ruthlessness,"	ruthlessnesses
"
inventory,"	inventories
"
peltry,"	peltries
"
sitnah,"	sitnahs
"
migratory,"	migratories
"
nimbus,"	nimbi
"
authoress,"	authoresses
"
godchild,"	godchildren
"
showiness,"	showinesses
"
strix,"	strices
"
oophorectomy,"	oophorectomies
"
siliqua,"	siliquas
"
methodic,"	methodics
"
danaus,"	danauss
"
independency,"	independencies
"
standoffishness,"	standoffishnesses
"
asynchrony,"	asynchronies
"
mournfulness,"	mournfulnesses
"
madness,"	madnesses
"
permissiveness,"	permissivenesses
"
rareness,"	rarenesses
"
curacao,"	curacaos
"
abruptness,"	abruptnesses
"
adequateness,"	adequatenesses
"
stoner,"	stoners
"
poisonberry,"	poisonberries
"
crash,"	crashes
"
neurogenesis,"	neurogeneses
"
underneath,"	underneaths
"
abrasiveness,"	abrasivenesses
"
forthcomingness,"	forthcomingnesses
"
urology,"	urologies
"
rematch,"	rematches
"
petrology,"	petrologies
"
dysentery,"	dysenteries
"
gar,"	gars
"
cardiorespiratory,"	cardiorespiratories
"
prehistory,"	prehistories
"
severity,"	severities
"
amaurosis,"	amauroses
"
adnexa,"	adnexas
"
neighbour,"	neighbours
"
reply,"	replies
"
verticilliosis,"	verticillioses
"
willoughby,"	willoughbies
"
man,"	men
"
thee,"	ye
"
establishmentarianism,"	establishmentarianisms
"
spelaeology,"	spelaeologies
"
sustainability,"	sustainabilities
"
blabby,"	blabbies
"
conveyor,"	conveyors
"
rigel,"	rigels
"
forestry,"	forestries
"
tsar,"	tsars
"
adenine,"	adenines
"
poultry,"	poultries
"
despondency,"	despondencies
"
flax,"	flaxes
"
disapproval,"	disapprovals
"
anthropometry,"	anthropometries
"
milan,"	milans
"
febricity,"	febricities
"
jerevan,"	jerevans
"
wakeless,"	wakelesses
"
laxly,"	laxlies
"
tunefulness,"	tunefulnesses
"
campy,"	campies
"
engelmannia,"	engelmannias
"
cirrhosis,"	cirrhoses
"
intel,"	intels
"
anathematisation,"	anathematisations
"
gist,"	gists
"
snuffbox,"	snuffboxes
"
picturesqueness,"	picturesquenesses
"
insecurity,"	insecurities
"
adherent,"	adherents
"
pasigraphy,"	pasigraphies
"
apoptosis,"	apoptoses
"
antepenult,"	antepenults
"
zoolatry,"	zoolatries
"
psychopsis,"	psychopses
"
xeroradiography,"	xeroradiographies
"
popery,"	poperies
"
roridulaceae,"	roridulaceaes
"
box,"	boxes
"
vidal,"	vidals
"
impasto,"	impastoes
"
chechnya,"	chechnyas
"
quietness,"	quietnesses
"
audacity,"	audacities
"
roundedness,"	roundednesses
"
interdependency,"	interdependencies
"
bicornuate,"	bicornuates
"
chinchillidae,"	chinchillidaes
"
rna,"	rnas
"
detonator,"	detonators
"
pharmacy,"	pharmacies
"
conscienceless,"	consciencelesses
"
question,"	questions
"
racecourse,"	racecourses
"
olecranon,"	olecranons
"
fondness,"	fondnesses
"
gluttony,"	gluttonies
"
consolidation,"	consolidations
"
expiratory,"	expiratories
"
ratty,"	ratties
"
torridity,"	torridities
"
acridness,"	acridnesses
"
scrawny,"	scrawnies
"
gnosis,"	gnoses
"
garrulity,"	garrulities
"
argufy,"	argufies
"
polarity,"	polarities
"
shiftless,"	shiftlesses
"
groundless,"	groundlesses
"
hiss,"	hisses
"
mosque,"	mosques
"
roadless,"	roadlesses
"
intelligibility,"	intelligibilities
"
rooster,"	roosters
"
patriarch,"	patriarches
"
candidness,"	candidnesses
"
midshipman,"	midshipmen
"
stoop,"	stoops
"
carriageway,"	carriageways
"
lowliness,"	lowlinesses
"
novelty,"	novelties
"
megalohepatia,"	megalohepatias
"
query,"	queries
"
juncus,"	juncuss
"
dampness,"	dampnesses
"
scalelike,"	scalelikes
"
brage,"	brages
"
adorability,"	adorabilities
"
punish,"	punishes
"
mordacity,"	mordacities
"
influx,"	influxes
"
immatureness,"	immaturenesses
"
anabiosis,"	anabioses
"
cylindricalness,"	cylindricalnesses
"
seamy,"	seamies
"
simplify,"	simplifies
"
polynemidae,"	polynemidaes
"
helminthiasis,"	helminthiases
"
woodsiness,"	woodsinesses
"
certainty,"	certainties
"
muskiness,"	muskinesses
"
bibliopole,"	bibliopoles
"
patchwork,"	patchworks
"
trickster,"	tricksters
"
steadfastness,"	steadfastnesses
"
goldthread,"	goldthreads
"
breech,"	breeches
"
actress,"	actresses
"
affirmatory,"	affirmatories
"
meditativeness,"	meditativenesses
"
cautery,"	cauteries
"
sluggishness,"	sluggishnesses
"
perpendicularity,"	perpendicularities
"
hypocapnia,"	hypocapnias
"
pansinusitis,"	pansinusitis
"
cjd,"	cjds
"
jib,"	jibs
"
pelobatidae,"	pelobatidaes
"
irascibility,"	irascibilities
"
gallery,"	galleries
"
conviction,"	convictions
"
flabby,"	flabbies
"
bloodguilty,"	bloodguilties
"
investigatory,"	investigatories
"
winterberry,"	winterberries
"
thatch,"	thatches
"
incoherency,"	incoherencies
"
sphericity,"	sphericities
"
predestinarianism,"	predestinarianisms
"
arability,"	arabilities
"
graylag,"	graylags
"
breakability,"	breakabilities
"
paviour,"	paviours
"
rumor,"	rumors
"
bounder,"	bounders
"
condescendingness,"	condescendingnesses
"
homomorphy,"	homomorphies
"
weepy,"	weepies
"
alumna,"	alumnae
"
misapply,"	misapplies
"
gratulatory,"	gratulatories
"
multitudinousness,"	multitudinousnesses
"
strait,"	straits
"
mutillidae,"	mutillidaes
"
tediousness,"	tediousnesses
"
bittercress,"	bittercresses
"
prothorax,"	prothoraxes
"
hemoglobinopathy,"	hemoglobinopathies
"
tanach,"	tanaches
"
stoneroot,"	stoneroots
"
stanhill,"	stanhills
"
delicacy,"	delicacies
"
lungen,"	lungens
"
sovereignty,"	sovereignties
"
kindliness,"	kindlinesses
"
recalcitrance,"	recalcitrances
"
missy,"	missies
"
muchness,"	muchnesses
"
marbleise,"	marbleises
"
sponginess,"	sponginesses
"
justifier,"	justifiers
"
punky,"	punkies
"
prescriptivism,"	prescriptivisms
"
langtry,"	langtries
"
imperishingness,"	imperishingnesses
"
inaptness,"	inaptnesses
"
slimness,"	slimnesses
"
bjs,"	bjss
"
pulpiness,"	pulpinesses
"
tansy,"	tansies
"
sashless,"	sashlesses
"
tench,"	tenches
"
crotonbug,"	crotonbugs
"
kobenhavn,"	kobenhavns
"
conductivity,"	conductivities
"
pock,"	pocks
"
vinyl,"	vinyls
"
eighty,"	eighties
"
cryptanalysis,"	cryptanalyses
"
express,"	expresses
"
informality,"	informalities
"
tricksy,"	tricksies
"
centaury,"	centauries
"
adiposity,"	adiposities
"
retaliation,"	retaliations
"
draughty,"	draughties
"
gametogenesis,"	gametogeneses
"
harare,"	harares
"
tawdriness,"	tawdrinesses
"
disfavor,"	disfavors
"
learnedness,"	learnednesses
"
ribaldry,"	ribaldries
"
pipeclay,"	pipeclays
"
leukotomy,"	leukotomies
"
pityriasis,"	pityriases
"
carcinoma,"	carcinomata
"
effectiveness,"	effectivenesses
"
squareness,"	squarenesses
"
rugby,"	rugbies
"
falafel,"	falafels
"
fpd,"	fpds
"
laffer,"	laffers
"
roominess,"	roominesses
"
wanderlust,"	wanderlusts
"
powdery,"	powderies
"
tallness,"	tallnesses
"
osteolysis,"	osteolyses
"
thanatopsis,"	thanatopses
"
colourlessness,"	colourlessnesses
"
demonstrability,"	demonstrabilities
"
mill,"	mills
"
knitwork,"	knitworks
"
slippery,"	slipperies
"
agendum,"	agenda
"
dessertspoon,"	dessertspoons
"
recoilless,"	recoillesses
"
dogwood,"	dogwoods
"
fagaceae,"	fagaceaes
"
bronx,"	bronxes
"
plumpness,"	plumpnesses
"
discommode,"	discommodes
"
petaloid,"	petaloids
"
negotiatress,"	negotiatresses
"
privacy,"	privacies
"
lingberry,"	lingberries
"
compassionateness,"	compassionatenesses
"
trickiness,"	trickinesses
"
ferociousness,"	ferociousnesses
"
banteng,"	bantengs
"
dibranch,"	dibranches
"
mucky,"	muckies
"
awesome,"	awesomes
"
tanakh,"	tanakhs
"
silverbush,"	silverbushes
"
insistency,"	insistencies
"
myiasis,"	myiases
"
embody,"	embodies
"
injuriousness,"	injuriousnesses
"
toothless,"	toothlesses
"
philhellenism,"	philhellenisms
"
immotility,"	immotilities
"
shtikl,"	shtikls
"
billiard,"	billiards
"
weatherglass,"	weatherglasses
"
lascaux,"	lascauxes
"
erythrolysin,"	erythrolysins
"
dilaudid,"	dilaudids
"
delphinus,"	delphinuss
"
tax,"	taxes
"
faery,"	faeries
"
dishonesty,"	dishonesties
"
kaliuresis,"	kaliureses
"
hoariness,"	hoarinesses
"
kilometre,"	kilometres
"
bioclimatology,"	bioclimatologies
"
helpless,"	helplesses
"
suavity,"	suavities
"
noisy,"	noisies
"
stimulant,"	stimulants
"
dehumidify,"	dehumidifies
"
swathe,"	swathes
"
myelic,"	myelics
"
mix,"	mixes
"
branch,"	branches
"
radioactivity,"	radioactivities
"
profoundness,"	profoundnesses
"
outcry,"	outcries
"
beeswax,"	beeswaxes
"
rubbery,"	rubberies
"
rightfulness,"	rightfulnesses
"
gladness,"	gladnesses
"
whimsy,"	whimsies
"
ureterostenosis,"	ureterostenoses
"
flash,"	flashes
"
cushiony,"	cushionies
"
schorl,"	schorls
"
enquiry,"	enquiries
"
chiropody,"	chiropodies
"
qualifier,"	qualifiers
"
barbary,"	barbaries
"
pneumovax,"	pneumovaxes
"
caenogenesis,"	caenogeneses
"
nonappearance,"	nonappearances
"
radiotelephony,"	radiotelephonies
"
blackberry,"	blackberries
"
doorman,"	doormen
"
easygoingness,"	easygoingnesses
"
chrestomathy,"	chrestomathies
"
foxy,"	foxies
"
eagerness,"	eagernesses
"
orphenadrine,"	orphenadrines
"
keratomycosis,"	keratomycoses
"
bestiality,"	bestialities
"
lithomancer,"	lithomancers
"
torpidity,"	torpidities
"
rex,"	rexes
"
perimeter,"	perimeters
"
cystitis,"	cystitis
"
tuppeny,"	tuppenies
"
laudableness,"	laudablenesses
"
metacyesis,"	metacyeses
"
opportunity,"	opportunities
"
enosis,"	enoses
"
augury,"	auguries
"
fruitless,"	fruitlesses
"
grassy,"	grassies
"
comptrollership,"	comptrollerships
"
asch,"	asches
"
mercury,"	mercuries
"
stint,"	stints
"
mara,"	maras
"
monotony,"	monotonies
"
tremor,"	tremors
"
stealthy,"	stealthies
"
impropriety,"	improprieties
"
insularity,"	insularities
"
windiness,"	windinesses
"
rebury,"	reburies
"
signalisation,"	signalisations
"
malarky,"	malarkies
"
appease,"	appeases
"
jolliness,"	jollinesses
"
sravana,"	sravanas
"
subindustry,"	subindustries
"
craigie,"	craigies
"
viewless,"	viewlesses
"
adhesiveness,"	adhesivenesses
"
conjunct,"	conjuncts
"
placatory,"	placatories
"
cable,"	cables
"
mithramycin,"	mithramycins
"
planeness,"	planenesses
"
unconventionality,"	unconventionalities
"
mouldy,"	mouldies
"
stealthiness,"	stealthinesses
"
instructorship,"	instructorships
"
gaudy,"	gaudies
"
acidemia,"	acidemias
"
rancor,"	rancors
"
multivitamin,"	multivitamins
"
thorny,"	thornies
"
gent,"	gents
"
immunochemistry,"	immunochemistries
"
kekule,"	kekules
"
atrociousness,"	atrociousnesses
"
bifoliate,"	bifoliates
"
pointel,"	pointels
"
gradualness,"	gradualnesses
"
displace,"	displaces
"
sexless,"	sexlesses
"
saintlike,"	saintlikes
"
oklahoman,"	oklahomen
"
battler,"	battlers
"
gracility,"	gracilities
"
raspberry,"	raspberries
"
fakery,"	fakeries
"
series,"	series
"
dictum,"	dicta
"
carefreeness,"	carefreenesses
"
briery,"	brieries
"
defectiveness,"	defectivenesses
"
gauntry,"	gauntries
"
trophobiosis,"	trophobioses
"
focus,"	foci
"
plausibility,"	plausibilities
"
machinery,"	machineries
"
floridness,"	floridnesses
"
horus,"	horuss
"
rickettsiosis,"	rickettsioses
"
casualness,"	casualnesses
"
speak,"	speaks
"
totara,"	totaras
"
orion,"	orions
"
reedy,"	reedies
"
chimaphila,"	chimaphilas
"
fastness,"	fastnesses
"
woozy,"	woozies
"
cobnut,"	cobnuts
"
archdeaconry,"	archdeaconries
"
criminatory,"	criminatories
"
mattrass,"	mattrasses
"
psaltery,"	psalteries
"
willingness,"	willingnesses
"
metastasis,"	metastases
"
frizzy,"	frizzies
"
dwarfishness,"	dwarfishnesses
"
latch,"	latches
"
sharer,"	sharers
"
wort,"	worts
"
aphelion,"	aphelia
"
vouge,"	vouges
"
colorless,"	colorlesses
"
cytotoxicity,"	cytotoxicities
"
multiversity,"	multiversities
"
overemphasis,"	overemphases
"
westerner,"	westerners
"
dialectology,"	dialectologies
"
antepartum,"	antepartums
"
goodish,"	goodishes
"
industrialisation,"	industrialisations
"
myxocephalus,"	myxocephaluss
"
tracy,"	tracies
"
harefoot,"	harefeet
"
ipomoea,"	ipomoeas
"
pollux,"	polluxes
"
entsy,"	entsies
"
mcculloch,"	mcculloches
"
beefy,"	beefies
"
colorimetry,"	colorimetries
"
pertinency,"	pertinencies
"
nephology,"	nephologies
"
indisputability,"	indisputabilities
"
tastiness,"	tastinesses
"
reelingly,"	reelinglies
"
interchangeableness,"	interchangeablenesses
"
yachtswoman,"	yachtswomen
"
cervix,"	cervixes
"
edmontonia,"	edmontonias
"
godby,"	godbies
"
laser,"	lasers
"
shagginess,"	shagginesses
"
athapaskan,"	athapaskans
"
arrant,"	arrants
"
shrubby,"	shrubbies
"
broach,"	broaches
"
biopsy,"	biopsies
"
awny,"	awnies
"
photometry,"	photometries
"
goudy,"	goudies
"
epizoan,"	epizoans
"
embryology,"	embryologies
"
antony,"	antonies
"
sanitariness,"	sanitarinesses
"
facility,"	facilities
"
role,"	roles
"
beingness,"	beingnesses
"
rabidity,"	rabidities
"
tepidness,"	tepidnesses
"
euglenid,"	euglenids
"
stravinsky,"	stravinskies
"
petite,"	petites
"
smoky,"	smokies
"
associableness,"	associablenesses
"
despicability,"	despicabilities
"
hysteroscopy,"	hysteroscopies
"
caiman,"	caimen
"
volubility,"	volubilities
"
brainchild,"	brainchildren
"
inrush,"	inrushes
"
sociableness,"	sociablenesses
"
pelvimetry,"	pelvimetries
"
thou,"	ye
"
swordlike,"	swordlikes
"
polyvalency,"	polyvalencies
"
smoggy,"	smoggies
"
anacyclus,"	anacycluss
"
patch,"	patches
"
pediculidae,"	pediculidaes
"
gigantism,"	gigantisms
"
cupidity,"	cupidities
"
costanoan,"	costanoans
"
pillbox,"	pillboxes
"
sagebrush,"	sagebrushes
"
tambocor,"	tambocors
"
perceptiveness,"	perceptivenesses
"
balmy,"	balmies
"
clinid,"	clinids
"
firetrap,"	firetraps
"
supremacy,"	supremacies
"
velum,"	vela
"
sikh,"	sikhs
"
brachystegia,"	brachystegias
"
creativeness,"	creativenesses
"
worthlessness,"	worthlessnesses
"
infantile,"	infantiles
"
radiant,"	radiants
"
bigos,"	bigoss
"
doggy,"	doggies
"
meaty,"	meaties
"
godliness,"	godlinesses
"
quality,"	qualities
"
neurohypophysis,"	neurohypophyses
"
throaty,"	throaties
"
hemostasis,"	hemostases
"
thrush,"	thrushes
"
velvety,"	velveties
"
otology,"	otologies
"
compass,"	compasses
"
dolby,"	dolbies
"
amorality,"	amoralities
"
cosset,"	cossets
"
pinkroot,"	pinkroots
"
freshman,"	freshmen
"
hemodialyzer,"	hemodialyzers
"
honestness,"	honestnesses
"
bch,"	bches
"
lobularity,"	lobularities
"
contemptibility,"	contemptibilities
"
enceliopsis,"	enceliopses
"
hymnody,"	hymnodies
"
implantation,"	implantations
"
ebonness,"	ebonnesses
"
becomingness,"	becomingnesses
"
silvex,"	silvexes
"
cockatrice,"	cockatrices
"
hem,"	hems
"
transcendency,"	transcendencies
"
mercerise,"	mercerises
"
droshky,"	droshkies
"
hostility,"	hostilities
"
chilopsis,"	chilopses
"
hiddenness,"	hiddennesses
"
wantonness,"	wantonnesses
"
dowerless,"	dowerlesses
"
horniness,"	horninesses
"
sperry,"	sperries
"
gladsomeness,"	gladsomenesses
"
turbidity,"	turbidities
"
epistasis,"	epistases
"
glazer,"	glazers
"
padua,"	paduas
"
backpacker,"	backpackers
"
limpness,"	limpnesses
"
trilogy,"	trilogies
"
theist,"	theists
"
trashiness,"	trashinesses
"
keratotomy,"	keratotomies
"
directory,"	directories
"
foxiness,"	foxinesses
"
kinaesthesis,"	kinaestheses
"
epilobium,"	epilobiums
"
dapperness,"	dappernesses
"
intussusception,"	intussusceptions
"
pandowdy,"	pandowdies
"
autoimmunity,"	autoimmunities
"
superfluity,"	superfluities
"
dreamy,"	dreamies
